team,seasonweek,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
KAN,202215,0.026440986,0.0,0.0,0.27861086,0.1643249,0.44998762,0.0,0.0,0.52575785,0.3554634,0.2801612,0.66923106,0.330828,0.42233223,0.32837805,0.0
KAN,202216,0.35448584,0.048393164,0.3197822,0.0,0.0,0.0,0.0,0.0015784344,0.022985185,0.120055296,0.09460551,0.096405305,0.26071382,0.0,0.0,0.017012842
KAN,202217,0.0,0.30341315,0.31356615,0.027623225,0.0,0.0,0.043941256,0.14685607,0.06800679,0.0,0.36133158,0.23269117,0.0,0.0,0.32450658,0.32331723
KAN,202218,0.03701201,0.0,0.0,0.0,0.58622277,0.0,0.0,0.0,0.50956947,0.0,0.0,0.0,0.0,0.0,0.3657608,0.27762765
KAN,202301,0.23016393,0.0,0.18638594,0.18492691,0.061703157,0.24686946,0.0,0.0,0.21689217,0.1332485,0.24547853,0.023451392,0.13115169,0.07427791,0.15137775,0.0
KAN,202302,0.23891324,0.31367484,0.0,0.0,0.2065997,0.0,0.0,0.0,0.0,0.0,0.09234779,0.28096458,0.0,0.07872495,0.0,0.24999024
KAN,202303,0.0,0.0,0.0,0.14361054,0.0,0.06792401,0.24116383,0.14670451,0.2525483,0.0,0.0,0.0,0.0,0.0,0.0,0.29107657
KAN,202304,0.3265004,0.0,0.0,0.0,0.0017531468,0.16976947,0.055127945,0.0,0.04703325,0.04899012,0.03355571,0.2741797,0.05546075,0.33750588,0.024363352,0.0
KAN,202305,0.0,0.3734542,0.287852,0.21261877,0.0,0.093272574,0.0,0.0,0.029011868,0.0,0.0,0.08448924,0.0,0.17082073,0.0,0.34351674
KAN,202306,0.26296693,0.053272106,0.13715948,0.0,0.01739382,0.0,0.0,0.0,0.10255984,0.15187468,0.38551068,0.49683282,0.08650891,0.0,0.0,0.0
KAN,202307,0.0,0.137117,0.0,0.13053438,0.13093065,0.0,0.34831455,0.0,0.06070847,0.16902351,0.13732953,0.049850114,0.06828246,0.0,0.0131643815,0.0
KAN,202308,0.0,0.0,0.5132805,0.18692815,0.23309292,0.28932527,0.0,0.0,0.031148864,0.3471179,0.0,0.0,0.0,0.25071266,0.0,0.0
KAN,202309,0.0,0.0,0.0,0.028041288,0.0,0.0,0.13286781,0.0,0.020947313,0.0,0.08699013,0.0,0.0,0.16658185,0.07668345,0.00069923955
KAN,202311,0.36039844,0.0,0.0,0.2662593,0.11826993,0.03418374,0.0913195,0.05731155,0.0,0.1531704,0.010742596,0.24164267,0.0,0.0,0.119866505,0.1227538
KAN,202312,0.051442914,0.0,0.0,0.0,0.0,0.13363251,0.0,0.089664824,0.112281196,0.0,0.017444722,0.025475577,0.0,0.2709685,0.0,0.0
KAN,202313,0.0,0.0167776,0.4244816,0.23340088,0.0,0.040800516,0.0,0.0,0.154963,0.0,0.058574717,0.029159319,0.26196766,0.0,0.047051225,0.0
KAN,202314,0.0,0.13812068,0.06519312,0.08141894,0.3233015,0.0,0.0,0.0,0.0,0.0,0.14738414,0.16063821,0.112407446,0.26706547,0.08304247,0.009687789
KAN,202315,0.004207561,0.0,0.0,0.0,0.0,0.28415614,0.089404985,0.0,0.0,0.23433726,0.073289916,0.0125599615,0.34797406,0.021109931,0.17489827,0.0
KAN,202316,0.0,0.0,0.06654202,0.110905424,0.0,0.014810367,0.0,0.2059713,0.058976173,0.050551195,0.0,0.0,0.0,0.27124664,0.0,0.12403998
KAN,202317,0.0,0.0,0.0,0.055473402,0.2768499,0.081085406,0.009786442,0.0,0.23778895,0.0,0.2998626,0.0,0.19004261,0.0,0.0,0.0
KAN,202318,0.0,0.08216818,0.17755848,0.03610334,0.012384055,0.0,0.1546491,0.063870005,0.05185103,0.07992156,0.0,0.40976596,0.26797947,0.0,0.20721476,0.16017607
KAN,202401,0.0,0.35899323,0.0,0.5503371,0.25113294,0.4595303,0.30102938,0.0,0.0,0.13616766,0.0,0.038262963,0.0,0.09570608,0.0016290555,0.0
KAN,202402,0.0,0.19804798,0.0,0.39887354,0.0,0.0,0.2481666,0.0,0.0,0.3175666,0.031130072,0.0,0.0,0.041012913,0.0,0.30919772
KAN,202403,0.17991364,0.0,0.0,0.0,0.042958602,0.13824408,0.44396317,0.5099589,0.0,0.0,0.0,0.3438141,0.39810756,0.1872343,0.0,0.03159076
KAN,202404,0.0028640358,0.0,0.0,0.09796063,0.01315462,0.06792284,0.15121783,0.0,0.21085916,0.0,0.09646153,0.117675245,0.20227231,0.0,0.0,0.0
KAN,202405,0.0,0.0,0.0,0.06668492,0.0,0.0,0.37283763,0.0,0.5509218,0.0,0.3230696,0.0,0.22764532,0.0,0.8229839,0.0
KAN,202407,0.0,0.0,0.562979,0.0,0.0,0.0,0.33223888,0.22631185,0.096188255,0.13846454,0.0,0.0,0.0,0.2591124,0.0,0.0
KAN,202408,0.49507052,0.20403269,0.05342813,0.3726816,0.0,0.0,0.069134206,0.32216653,0.22093272,0.0,0.38350636,0.10837788,0.0,0.1202155,0.0,0.30791005
KAN,202409,0.19085866,0.0,0.0,0.29609585,0.14330693,0.0,0.30435982,0.003418737,0.006151462,0.17599544,0.0,0.0,0.1680827,0.0,0.0,0.1272645
KAN,202410,0.08303656,0.0,0.0,0.1666419,0.062552646,0.0,0.17740276,0.012590626,0.0,0.19799793,0.035494424,0.21955855,0.0,0.021618694,0.0,0.21503244
KAN,202411,0.0,0.2322341,0.17685789,0.0,0.03638593,0.15717681,0.0,0.0,0.37548876,0.0,0.0,0.0,0.033673994,0.0,0.0,0.050145656
KAN,202412,0.0,0.040622286,0.0,0.2218798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42318392,0.0,0.05664633,0.0
KAN,202413,0.611692,0.0,0.0,0.1994372,0.0,0.41670632,0.4172818,0.0,0.10355912,0.4447372,0.5701688,0.0,0.0,0.0,0.29498354,0.38270208
KAN,202414,0.014114665,0.26842508,0.0,0.0,0.03641922,0.15602322,0.033048045,0.059070006,0.0,0.0,0.0,0.0,0.0,0.39025822,0.18930246,0.10263708
KAN,202415,0.0,0.0,0.10105678,0.0,0.0,0.0,0.0,0.43166012,0.07228419,0.040473763,0.0,0.0,0.5832065,0.0,0.0,0.11648299
KAN,202416,0.0,0.2564618,0.0,0.0,0.6405147,0.63062537,0.61565995,0.21970545,0.0,0.029333832,0.09144175,0.61045265,0.10215034,0.0,0.0,0.0
KAN,202417,0.14559999,0.0,0.0,0.4367301,0.0,0.49460837,0.02333702,0.37426385,0.014581094,0.0,0.0,0.15281121,0.0,0.0,0.46830308,0.17950326
KAN,202418,1.1394941,0.08729769,0.0032887254,0.0,0.047606956,0.37442416,0.0,0.0,0.53085226,1.2791698,0.4580274,0.21331726,0.0,0.0,0.0,0.0
LAC,202202,0.027823094,0.14749111,0.066088215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19969247,0.0,0.0,0.0,0.0,0.0
LAC,202203,0.0,0.13357243,0.0,0.00650244,0.0,0.0,0.18708266,0.0,0.0,0.0,0.0,0.0,0.19396529,0.14678591,0.06523045,0.0
LAC,202204,0.0815716,0.0021788625,0.0,0.0,0.0,0.2694972,0.2478366,0.08684633,0.06332654,0.0,0.0,0.19776648,0.0,0.0,0.0,0.0
LAC,202205,0.0,0.0,0.0,0.15334019,0.0,0.0,0.07082466,0.29171246,0.0,0.12818375,0.0,0.0,0.18072173,0.0,0.0,0.0
LAC,202206,0.20436572,0.0,0.32854295,0.0,0.17010742,0.18456748,0.21353863,0.1391501,0.0,0.0,0.12300574,0.20422527,0.17860919,0.0,0.13438329,0.0
LAC,202207,0.0,0.086006835,0.024889499,0.0,0.13486882,0.0,0.0,0.0,0.0,0.14093149,0.0,0.21696648,0.0,0.0,0.3062371,0.07940757
LAC,202209,0.14465581,0.04694564,0.0,0.074846864,0.0,0.14265235,0.099858716,0.11708823,0.0,0.18052785,0.045414437,0.0,0.0,0.018293783,0.0,0.0
LAC,202210,0.0,0.0,0.08824203,0.0,0.0,0.10269488,0.049676087,0.12032513,0.053132463,0.14800689,0.17631255,0.12414611,0.40221077,0.0,0.0,0.0
LAC,202211,0.0,0.07905978,0.0,0.0,0.049247287,0.0,0.0,0.22839798,0.0,0.28310874,0.07454759,0.0,0.0,0.0,0.24358298,0.0
LAC,202212,0.0,0.3024698,0.0,0.15353143,0.13989574,0.0,0.0,0.115143605,0.0,0.18617754,0.0,0.0,0.0,0.0,0.0,0.0
LAC,202213,0.0,0.22306487,0.0,0.0,0.07789709,0.35848004,0.05048177,0.2506539,0.07009505,0.0,0.0,0.0,0.07486744,0.09576584,0.18308565,0.019285196
LAC,202214,0.0,0.18014531,0.0,0.24243039,0.0534209,0.0,0.0,0.013163954,0.17017002,0.11756703,0.0057417685,0.31301796,0.0,0.11440415,0.1153499,0.0
LAC,202215,0.31822124,0.0,0.0,0.0,0.0,0.0,0.30404702,0.0011871462,0.1478611,0.2004646,0.0,0.37328032,0.3240965,0.029630404,0.0,0.28239694
LAC,202216,0.26892188,0.0,0.26691568,0.0,0.0,0.020045523,0.0,0.0,0.13456595,0.0,0.3265804,0.0,0.0,0.14686167,0.0,0.28036523
LAC,202217,0.0,0.29642537,0.22991598,0.18675041,0.0,0.14883031,0.0,0.035659295,0.12758489,0.0,0.0,0.0,0.0,0.015770603,0.024798006,0.0
LAC,202218,0.0,0.0,0.07365065,0.0,0.15480441,0.0,0.0,0.0,0.09838046,0.16945164,0.0,0.046990342,0.0,0.0,0.002056574,0.19603723
LAC,202301,0.0,0.0,0.13164702,0.21635705,0.0,0.0,0.0,0.31210405,0.0,0.0,0.1726828,0.0,0.033154607,0.36309943,0.67233944,0.0
LAC,202302,0.08662228,0.0,0.20307942,0.14968158,0.14037445,0.0,0.022402897,0.0,0.044436317,0.0,0.0,0.0,0.0,0.057204008,0.0,0.20690224
LAC,202303,0.0,0.040799484,0.0,0.18149543,0.0,0.0,0.4236008,0.27210966,0.17332463,0.0,0.0,0.0,0.04572443,0.0,0.0,0.54887915
