week,away_team,home_team,winner,A_attn_0,A_attn_1,A_attn_2,A_attn_3,A_attn_4,A_attn_5,A_attn_6,A_attn_7,A_attn_8,A_attn_9,A_attn_10,A_attn_11,A_attn_12,A_attn_13,A_attn_14,A_attn_15,A_attn_16,A_attn_17,A_attn_18,A_attn_19,A_attn_20,A_attn_21,A_attn_22,A_attn_23,A_attn_24,A_attn_25,A_attn_26,A_attn_27,A_attn_28,A_attn_29,A_attn_30,A_attn_31,B_attn_0,B_attn_1,B_attn_2,B_attn_3,B_attn_4,B_attn_5,B_attn_6,B_attn_7,B_attn_8,B_attn_9,B_attn_10,B_attn_11,B_attn_12,B_attn_13,B_attn_14,B_attn_15,B_attn_16,B_attn_17,B_attn_18,B_attn_19,B_attn_20,B_attn_21,B_attn_22,B_attn_23,B_attn_24,B_attn_25,B_attn_26,B_attn_27,B_attn_28,B_attn_29,B_attn_30,B_attn_31
202411,HTX,DAL,HTX,0.19103353,0.22557546,0.07581493,0.15353641,-0.29069716,0.24878883,-0.1930015,-0.29672828,0.4901434,-0.16260204,-0.04300097,0.05301077,0.044637814,-0.055845946,0.2452541,-0.20773672,0.4277672,-0.38770577,0.24256746,-0.12852247,0.10643484,0.0317684,-0.28698704,-0.2317751,0.25839335,0.3601533,-0.060486663,-0.32146707,0.21290207,0.058338765,-0.26039177,0.27826372,-0.29927814,-0.09341731,-0.14173447,0.3263739,-0.18322115,-0.010976388,0.03668059,0.018868638,0.030897098,-0.15854757,0.18982066,0.09466363,-0.03191521,-0.24240118,-0.25748658,-0.11503672,0.14340368,0.36615553,-0.02313434,-0.18483296,-0.079152085,0.32011756,-0.22243123,-0.22779496,0.2948958,0.3354076,0.34486976,0.011417619,-0.30815634,0.2888772,0.008499718,-0.17817008
202411,CLT,NYJ,CLT,0.32775965,0.15481703,-0.10683328,0.029218297,0.4823682,0.04276101,0.099466324,-0.020227032,-0.34296387,0.009626131,0.008413798,-0.1349755,-0.23463364,0.19566882,0.19250865,0.12365695,-0.022047173,0.05778764,-0.14839068,0.16430797,0.16477543,0.14465012,0.2556115,0.19382338,-0.08218223,-0.34960556,-0.13011004,-0.27648512,0.2028341,-0.24387065,0.47191513,0.03934357,-0.34925836,-0.043454625,-0.31264788,-0.011028067,-0.013327353,-0.123569794,0.25596836,-0.16968718,0.18232842,0.2141684,-0.37791088,0.21869743,0.18693364,-0.064643815,0.26604825,0.2910944,0.15729465,-0.20028281,0.1162774,0.07818755,0.19732295,0.24701475,-0.22541237,0.2315216,-0.07262353,0.2045058,-0.122506574,0.38640645,0.22081351,0.15372983,-0.21552831,0.4516973
202411,RAV,PIT,PIT,0.13090104,0.094614916,0.19712321,-0.15752108,0.6530671,-0.22371486,0.28411922,0.19045156,-0.28405595,0.44083852,0.13780063,0.07437051,-0.11676515,0.0865444,0.12972847,0.18579799,0.44835377,0.21296069,0.04415628,0.3654408,0.15937634,-0.030975344,0.16045755,0.16235445,0.036846638,-0.3671079,-0.234445,0.066711746,-0.32755092,-0.20812514,0.12778533,0.4555669,0.19888264,0.059494015,0.0440668,-0.036850143,0.1502848,0.2630924,-0.112543255,0.1968559,-0.08752874,-0.14112143,0.4938657,-0.47674292,0.012420011,0.41551006,0.14117469,0.071359724,-0.39235714,0.43607348,-0.06980713,-0.024888562,0.015399668,0.087655336,0.34490895,0.23429394,-0.1200878,-0.2890549,-0.27734068,-0.35444814,0.15425453,-0.18737331,0.6003253,-0.3570567
202411,MIN,OTI,MIN,-0.13406327,-0.23199683,0.14193802,0.017030273,-0.25268862,0.095042035,-0.3612881,-0.18660958,0.4106741,0.3124746,-0.06089301,0.19834659,0.111126214,0.20253082,0.37467086,-0.38890696,0.4539899,-0.68030655,0.42648658,-0.0275421,0.28276423,-0.1271137,0.17858826,0.12952726,-0.050249193,0.15830554,-0.29871106,-0.29719138,0.6835811,0.0028817798,-0.45607042,0.37492537,0.035554375,0.080110535,-0.29870415,0.24063344,0.34169888,-0.38579175,0.4390151,-0.19031917,-0.44133383,-0.061492246,-0.22548112,0.22015172,-0.26334664,-0.15737207,-0.113894835,0.39253765,0.12688653,-0.11646698,-0.53753704,0.17430426,0.0775723,0.2150625,-0.24408671,0.16222446,-0.016046045,-0.14739057,0.09379834,0.32202306,-0.34655136,0.21937233,-0.03701232,0.080090724
202412,CRD,SEA,SEA,-0.3505412,-0.06890944,0.08669231,0.28789258,-0.7686764,-0.08240463,-0.056556035,-0.32855895,0.18797076,0.009071519,-0.23957512,0.34423414,0.18160747,-0.08968015,0.18744604,-0.22463748,0.14880404,-0.51274323,-0.06920413,0.026671492,-0.113544494,-0.2556319,-0.9793976,-0.39253852,0.17522098,0.373161,0.2737437,0.25799868,0.2114487,0.36122328,-0.6272163,0.35942104,-0.009160401,0.26298037,0.36251312,-0.1917656,-0.49644572,0.08870415,-0.079021655,-0.13413942,-0.10296535,-0.108896986,-0.1501004,0.050771523,-0.1093975,0.18185364,0.45097113,-0.46353793,0.10685085,-0.303655,-0.02457017,0.13895293,0.06308814,-0.2747546,-0.40336478,-0.35805762,-0.0372044,-0.13819939,0.21111465,-0.30049112,0.24711613,-0.02493674,-0.5110955,0.05604426
202412,DEN,RAI,DEN,-0.1011482,-0.3510984,0.118089296,0.1766227,0.054918684,0.024960525,-0.42562816,0.08646344,0.31692484,0.13106273,-0.16658686,0.03283376,0.1958302,0.29231256,0.22843584,-0.034618683,-0.17173153,-0.20414966,0.28458652,-0.23296985,0.08538811,-0.09334263,0.28905344,-0.017557733,-0.13959087,0.13127111,0.007633754,-0.08828531,0.4302891,-0.17283577,-0.33481595,0.12407131,-0.54879963,-0.36272022,-0.1444639,0.20665467,-0.22339977,-0.095372014,0.028857,-0.085945144,0.081623845,0.23965159,-0.44088656,0.2010933,0.044598278,-0.049851287,0.015862554,0.022848124,0.043172948,-0.53432834,0.21642871,-0.13145567,-0.12924817,0.0022060329,-0.37344825,0.04518463,-0.13508648,0.27744815,-0.074038774,0.4447409,0.30121523,0.17283592,-0.61189955,0.07154697
202412,KAN,CAR,KAN,-0.15003756,0.08084255,0.0028668225,-0.32980943,0.4488787,-0.077843085,0.14663072,0.061488457,-0.21287918,0.39108467,0.41660595,0.0031915277,0.0010193234,0.25902063,0.43641797,-0.053618535,0.3920389,0.2231994,-0.053907298,0.3908222,0.46626684,0.016238244,0.59205604,0.6535322,-0.26332697,-0.38186285,-0.43505207,-0.17448397,0.120762765,-0.06581939,0.18342353,0.32407916,-0.14145431,-0.229191,-0.43313652,0.05970579,-0.14231849,0.40615773,-0.09992073,-0.07633562,0.087454505,-0.046617012,0.16115414,-0.084228486,0.23283283,0.16035803,-0.037886415,0.18412982,-0.18260446,-0.2900714,-0.10062083,-0.34299946,-0.095427446,0.3645625,0.00046705606,0.22835322,-0.22366758,0.32174504,-0.41700557,0.09621994,0.4381019,0.24857067,0.1157036,-0.14539282
202412,PIT,CLE,CLE,0.3476713,0.24386947,-0.15730043,0.15855636,-0.041985065,0.32936525,-0.13841288,-0.21533345,0.30569983,-0.32253996,-0.18219873,-0.12684216,-0.0708392,-0.079424195,-0.044616763,-0.10710738,0.17045167,-0.12676296,0.1813351,-0.28034434,0.02401069,0.2273511,-0.08060511,-0.22811335,0.15822655,0.27894342,0.088731535,-0.34564716,0.10512304,-0.0022686424,0.078097664,0.114886865,-0.008618261,0.022299375,0.1150988,0.035387054,0.6667281,-0.32136202,0.24491562,0.13313632,-0.031104784,0.4182466,0.077423,0.17780946,-0.063778915,-0.05019967,0.15182932,0.23076653,0.16984443,0.29546607,0.09822426,0.4063887,0.26305926,-0.071850024,0.2713463,0.28348002,0.10014408,-0.3036598,-0.08058627,0.19013828,-0.27157936,-0.40237868,0.25486916,0.41581708
202412,OTI,HTX,OTI,-0.037102938,0.24719901,0.27638304,-0.25228685,-0.18726005,0.08257782,0.05921029,0.046315532,0.26250824,-0.07448436,0.014632628,0.063543074,-0.01705127,-0.029212866,0.07413507,-0.29316673,0.29777327,0.22746296,0.28634873,0.0977365,0.24950968,0.013017148,0.13820751,-0.07479454,0.26583263,0.0030535818,0.1584642,-0.18228547,-0.2239151,-0.042446718,-0.030201908,0.18839377,-0.33028585,-0.35349077,-0.15753977,0.32857308,-0.2991911,0.051495768,-0.3928921,-0.22368057,0.38216674,0.04337859,-0.0594804,0.21058907,0.19405164,0.051117837,0.18015303,-0.13195612,0.003398898,-0.39396736,0.13081063,-0.27925897,-0.012718369,-0.01975502,-0.18335615,-0.1676255,-0.04529199,0.5688823,0.05144046,0.030969301,0.49387282,0.23459604,-0.25623253,0.19585453
202412,DET,CLT,DET,-0.22722885,-0.04288484,-0.09375282,-0.017689127,0.09183941,-0.014095233,0.07768551,-0.15939866,0.08984414,0.1916407,-0.17808811,0.033011258,-0.063684285,0.0060223774,0.18137571,-0.11973455,0.62439644,-0.23068921,0.3031027,0.0049943607,0.28835782,0.20634411,0.14277531,0.3972512,-0.04205055,0.090533495,-0.2601784,-0.071122214,0.29680088,0.26416945,-0.30085602,0.29221457,-0.22764835,0.25240317,-0.07564281,-0.12044455,-0.31193802,-0.26318142,0.5298883,-0.05818011,-0.2807036,0.089797325,0.30091947,0.128171,-0.025076644,0.095887914,0.24485792,0.14809865,-0.26717874,0.028811308,-0.4986881,0.4877153,0.18833113,0.006500885,-0.53721416,0.19747576,-0.10528332,-0.43081158,-0.14023192,0.26246363,-0.08007341,0.037954226,0.019072382,-0.14177762
